x,y,ll,a_ll,e_ll,e_a_ll
299138,296.4697265625,,,,
299139,296.4153747558594,,,,
299140,296.36102294921875,,,,
299141,296.3338623046875,,,,
299142,296.3882141113281,,,,
299143,296.3882141113281,,,,
299144,296.3882141113281,,,,
299145,296.44256591796875,,,,
299146,296.1979675292969,,,,
299147,296.3066711425781,,,,
299148,296.2795104980469,,,,
299149,296.4153747558594,-27.133433245864623,-2.8793187112387186,1.60943309061215,1.6094223637333185
299150,296.4153747558594,,,,
299151,296.3338623046875,,,,
299152,296.2795104980469,,,,
299153,296.2795104980469,,,,
299154,296.4153747558594,,,,
299155,296.2795104980469,,,,
299156,296.3882141113281,,,,
299157,296.5784606933594,,,,
299158,296.4153747558594,,,,
299159,296.5240783691406,,,,
299160,296.1708068847656,,,,
299161,296.3882141113281,,,,
299162,296.4153747558594,,,,
299163,296.5240783691406,,,,
299164,296.44256591796875,-27.204842436335802,-2.8948521130910714,1.609433538405888,1.6094274431490874
299165,296.3338623046875,,,,
299166,296.36102294921875,,,,
299167,296.5240783691406,,,,
299168,296.4153747558594,,,,
299169,296.5240783691406,,,,
299170,296.44256591796875,,,,
299171,296.55126953125,,,,
299172,296.3338623046875,,,,
299173,296.3066711425781,,,,
299174,296.4153747558594,,,,
299175,296.44256591796875,,,,
299176,296.2523193359375,,,,
299177,296.55126953125,,,,
299178,296.4697265625,,,,
299179,296.4969177246094,-27.16994706788669,-2.9062010696414213,1.6094338353829356,1.6094260227363988
299180,296.4697265625,,,,
299181,296.3338623046875,,,,
299182,296.36102294921875,,,,
299183,296.4697265625,,,,
299184,296.44256591796875,,,,
299185,296.1979675292969,,,,
299186,296.55126953125,,,,
299187,296.4969177246094,,,,
299188,296.44256591796875,,,,
299189,296.3066711425781,,,,
299190,296.5240783691406,,,,
299191,296.3882141113281,,,,
299192,296.5240783691406,,,,
299193,296.4969177246094,,,,
299194,296.22515869140625,-27.20959256867883,-2.905858474261383,1.609434167062164,1.6094306226104953
299195,296.4969177246094,,,,
299196,296.3338623046875,,,,
299197,296.2795104980469,,,,
299198,296.4969177246094,,,,
299199,296.2795104980469,,,,
299200,296.4153747558594,,,,
299201,296.116455078125,,,,
299202,296.3882141113281,,,,
299203,296.3882141113281,,,,
299204,296.3338623046875,,,,
299205,296.5240783691406,,,,
299206,296.4969177246094,,,,
299207,296.3066711425781,,,,
299208,296.5240783691406,,,,
299209,296.5784606933594,-27.253472427663134,-2.93697036790562,1.6094368114228021,1.6094167644579467
299210,296.4153747558594,,,,
299211,296.4153747558594,,,,
299212,296.2523193359375,,,,
299213,296.4969177246094,,,,
299214,296.4969177246094,,,,
299215,296.2795104980469,,,,
299216,296.2795104980469,,,,
299217,296.4697265625,,,,
299218,296.3338623046875,,,,
299219,296.36102294921875,,,,
299220,296.8503112792969,,,,
299221,296.6600036621094,,,,
299222,296.36102294921875,,,,
299223,296.3338623046875,,,,
299224,296.3066711425781,-27.380885499677973,-2.9259331366462145,1.6094342746460373,1.6094242148531914
299225,296.4969177246094,,,,
299226,296.5240783691406,,,,
299227,296.3338623046875,,,,
299228,296.5240783691406,,,,
299229,296.5240783691406,,,,
299230,296.6328125,,,,
299231,296.3882141113281,,,,
299232,296.4969177246094,,,,
299233,296.3882141113281,,,,
299234,296.5240783691406,,,,
299235,296.55126953125,,,,
299236,296.3338623046875,,,,
299237,296.5784606933594,,,,
299238,296.5240783691406,,,,
299239,296.3338623046875,-27.17740303395928,-2.878850162366881,1.6094339046398995,1.6094145245936633
299240,296.4153747558594,,,,
299241,296.3066711425781,,,,
299242,296.5240783691406,,,,
299243,296.44256591796875,,,,
299244,296.4969177246094,,,,
299245,296.3338623046875,,,,
299246,296.4969177246094,,,,
299247,296.5240783691406,,,,
299248,296.36102294921875,,,,
299249,296.3338623046875,,,,
299250,296.3066711425781,,,,
299251,296.55126953125,,,,
299252,296.5240783691406,,,,
299253,296.5784606933594,,,,
299254,296.5784606933594,-27.187034861041283,-2.870288364355623,1.6094341886004981,1.6093982942703469
299255,296.55126953125,,,,
299256,296.4697265625,,,,
299257,296.44256591796875,,,,
299258,296.44256591796875,,,,
299259,296.4969177246094,,,,
299260,296.6600036621094,,,,
299261,296.3882141113281,,,,
299262,296.5240783691406,,,,
299263,296.3882141113281,,,,
299264,296.4969177246094,,,,
299265,296.4969177246094,,,,
299266,296.4153747558594,,,,
299267,296.5784606933594,,,,
299268,296.44256591796875,,,,
299269,296.4697265625,-27.128622752250692,-2.8701568997303175,1.6094327763480225,1.609387957629317
299270,296.55126953125,,,,
299271,296.4969177246094,,,,
299272,296.3882141113281,,,,
299273,296.6056213378906,,,,
299274,296.4153747558594,,,,
299275,296.3066711425781,,,,
299276,296.4153747558594,,,,
299277,296.3338623046875,,,,
299278,296.5240783691406,,,,
299279,296.7415466308594,,,,
299280,296.4697265625,,,,
299281,296.5240783691406,,,,
299282,296.7415466308594,,,,
299283,296.0349426269531,,,,
299284,296.1979675292969,-27.50112509318123,-2.9265689908242383,1.6094243446461798,1.6093968933791676
299285,296.4153747558594,,,,
299286,296.2795104980469,,,,
299287,296.08929443359375,,,,
299288,296.44256591796875,,,,
299289,296.4697265625,,,,
299290,296.36102294921875,,,,
299291,296.55126953125,,,,
299292,296.4153747558594,,,,
299293,296.3066711425781,,,,
299294,296.4153747558594,,,,
299295,296.5784606933594,,,,
299296,296.3338623046875,,,,
299297,296.44256591796875,,,,
299298,296.3338623046875,,,,
299299,296.4969177246094,-27.239806612257283,-2.888459881305884,1.60942620586059,1.6094116218164392
299300,296.4969177246094,,,,
299301,296.36102294921875,,,,
299302,296.22515869140625,,,,
299303,296.3882141113281,,,,
299304,296.3066711425781,,,,
299305,296.1708068847656,,,,
299306,296.4153747558594,,,,
299307,296.4153747558594,,,,
299308,296.36102294921875,,,,
299309,296.4969177246094,,,,
299310,296.4969177246094,,,,
299311,296.4697265625,,,,
299312,296.5240783691406,,,,
299313,296.6056213378906,,,,
299314,296.4697265625,-27.22745948531726,-2.866397788014768,1.6094268762524,1.6094077011190513
299315,296.4969177246094,,,,
299316,296.3882141113281,,,,
299317,296.4969177246094,,,,
299318,296.5240783691406,,,,
299319,296.5240783691406,,,,
299320,296.55126953125,,,,
299321,296.3066711425781,,,,
299322,296.4153747558594,,,,
299323,296.4697265625,,,,
299324,296.4153747558594,,,,
299325,296.5784606933594,,,,
299326,296.3338623046875,,,,
299327,296.44256591796875,,,,
299328,296.7415466308594,,,,
299329,296.36102294921875,-27.21387210948953,-2.856224779306151,1.6094273053138854,1.6094009739088448
299330,296.4697265625,,,,
299331,296.4697265625,,,,
299332,296.44256591796875,,,,
299333,296.4969177246094,,,,
299334,296.5240783691406,,,,
299335,296.5240783691406,,,,
299336,296.4697265625,,,,
299337,296.4969177246094,,,,
299338,296.4969177246094,,,,
299339,296.36102294921875,,,,
299340,296.3882141113281,,,,
299341,296.6328125,,,,
299342,296.3882141113281,,,,
299343,296.3882141113281,,,,
299344,296.3066711425781,-27.141957944842837,-2.83781717914744,1.6094277674839588,1.6093817741558423
299345,296.44256591796875,,,,
299346,296.36102294921875,,,,
299347,296.3338623046875,,,,
299348,296.3338623046875,,,,
299349,296.3882141113281,,,,
299350,296.3066711425781,,,,
299351,296.4697265625,,,,
299352,296.4969177246094,,,,
299353,296.3066711425781,,,,
299354,296.44256591796875,,,,
299355,296.1979675292969,,,,
299356,296.3066711425781,,,,
299357,296.3066711425781,,,,
299358,296.2795104980469,,,,
299359,296.2795104980469,-27.140130799343567,-2.905386084829335,1.6094366664941555,1.6094036127972564
299360,296.4153747558594,,,,
299361,296.2523193359375,,,,
299362,296.08929443359375,,,,
299363,296.3066711425781,,,,
299364,296.2795104980469,,,,
299365,296.4153747558594,,,,
299366,296.22515869140625,,,,
299367,296.2523193359375,,,,
299368,296.2795104980469,,,,
299369,296.2795104980469,,,,
299370,296.3066711425781,,,,
299371,296.2795104980469,,,,
299372,296.3066711425781,,,,
299373,296.3338623046875,,,,
299374,296.3066711425781,-27.12448171217489,-2.9127699064239096,1.6094366970329452,1.6093876718258304
299375,296.2795104980469,,,,
299376,296.3882141113281,,,,
299377,296.2795104980469,,,,
299378,296.2795104980469,,,,
299379,296.44256591796875,,,,
299380,296.22515869140625,,,,
299381,296.5784606933594,,,,
299382,296.55126953125,,,,
299383,296.4969177246094,,,,
299384,296.4153747558594,,,,
299385,296.3882141113281,,,,
299386,296.22515869140625,,,,
299387,296.4969177246094,,,,
299388,296.5240783691406,,,,
299389,296.4969177246094,-27.242069844271356,-2.8993053989702324,1.6094364452557959,1.6093847535262626
299390,296.6328125,,,,
299391,296.3882141113281,,,,
299392,296.5240783691406,,,,
299393,296.5240783691406,,,,
299394,296.4969177246094,,,,
299395,296.3338623046875,,,,
299396,296.44256591796875,,,,
299397,296.36102294921875,,,,
299398,296.2795104980469,,,,
299399,296.5240783691406,,,,
299400,296.71435546875,,,,
299401,296.4969177246094,,,,
299402,296.4969177246094,,,,
299403,296.36102294921875,,,,
299404,296.4697265625,-27.22586373602072,-2.912336318050769,1.6094362955736752,1.6093898982405015
299405,296.6056213378906,,,,
299406,296.4697265625,,,,
299407,296.4969177246094,,,,
299408,296.4969177246094,,,,
299409,296.6328125,,,,
299410,296.4969177246094,,,,
299411,296.5240783691406,,,,
299412,296.5784606933594,,,,
299413,296.3882141113281,,,,
299414,296.5240783691406,,,,
299415,296.44256591796875,,,,
299416,296.5240783691406,,,,
299417,296.36102294921875,,,,
299418,296.4697265625,,,,
299419,296.5240783691406,-27.128699343978177,-2.8855826478113453,1.609436157963073,1.6094319121290386
299420,296.3338623046875,,,,
299421,296.3338623046875,,,,
299422,296.4153747558594,,,,
299423,296.4969177246094,,,,
299424,296.3066711425781,,,,
299425,296.55126953125,,,,
299426,296.4969177246094,,,,
299427,296.4153747558594,,,,
299428,296.4153747558594,,,,
299429,296.2795104980469,,,,
299430,296.5240783691406,,,,
299431,296.4153747558594,,,,
299432,296.3066711425781,,,,
299433,296.4153747558594,,,,
299434,296.2795104980469,-27.158896169556265,-2.8651215577329925,1.6094362833468856,1.6094186050983577
299435,296.3066711425781,,,,
299436,296.3066711425781,,,,
299437,296.2523193359375,,,,
299438,296.3066711425781,,,,
299439,296.3338623046875,,,,
299440,296.2523193359375,,,,
299441,296.3066711425781,,,,
299442,296.44256591796875,,,,
299443,296.1708068847656,,,,
299444,296.3066711425781,,,,
299445,296.4153747558594,,,,
299446,296.2795104980469,,,,
299447,296.3066711425781,,,,
299448,296.4153747558594,,,,
299449,296.3882141113281,-27.11699022267325,-2.909073329484955,1.609436172535561,1.6094200317166993
299450,296.4969177246094,,,,
299451,296.4153747558594,,,,
299452,296.4153747558594,,,,
299453,296.4153747558594,,,,
299454,296.2795104980469,,,,
299455,296.2795104980469,,,,
299456,296.36102294921875,,,,
299457,296.3066711425781,,,,
299458,296.44256591796875,,,,
299459,296.44256591796875,,,,
299460,296.4153747558594,,,,
299461,296.4153747558594,,,,
299462,296.3882141113281,,,,
299463,296.44256591796875,,,,
299464,296.44256591796875,-27.107441512136226,-2.8954180385186654,1.6094366705202292,1.6094203485711795
299465,296.5240783691406,,,,
299466,296.5240783691406,,,,
299467,296.44256591796875,,,,
299468,296.4969177246094,,,,
299469,296.6328125,,,,
299470,296.4153747558594,,,,
299471,296.71435546875,,,,
299472,296.36102294921875,,,,
299473,296.3882141113281,,,,
299474,296.55126953125,,,,
299475,296.71435546875,,,,
299476,296.4969177246094,,,,
299477,296.4697265625,,,,
299478,296.5784606933594,,,,
299479,296.5240783691406,-27.203958790787198,-2.9357731796730517,1.6094370831648663,1.609404704931292
299480,296.5240783691406,,,,
299481,296.4969177246094,,,,
299482,296.6328125,,,,
299483,296.5240783691406,,,,
299484,296.36102294921875,,,,
299485,296.4697265625,,,,
299486,296.4153747558594,,,,
299487,296.6056213378906,,,,
299488,296.44256591796875,,,,
299489,296.6056213378906,,,,
299490,296.55126953125,,,,
299491,296.5240783691406,,,,
299492,296.2795104980469,,,,
299493,296.7959289550781,,,,
299494,296.36102294921875,-27.269940809738678,-2.915040276813613,1.6094354786030967,1.6094053597920508
299495,296.3882141113281,,,,
299496,296.4969177246094,,,,
299497,296.3338623046875,,,,
299498,296.3882141113281,,,,
299499,296.3882141113281,,,,
299500,296.4969177246094,,,,
299501,296.5240783691406,,,,
299502,296.3882141113281,,,,
299503,296.2795104980469,,,,
299504,296.6328125,,,,
299505,296.6056213378906,,,,
299506,296.44256591796875,,,,
299507,296.4153747558594,,,,
299508,296.4697265625,,,,
299509,296.3066711425781,-27.189641078191613,-2.870596955196831,1.609435481258279,1.6094101747654483
299510,296.4969177246094,,,,
299511,296.3338623046875,,,,
299512,296.3338623046875,,,,
299513,296.08929443359375,,,,
299514,296.3338623046875,,,,
299515,296.44256591796875,,,,
299516,296.3338623046875,,,,
299517,296.3882141113281,,,,
299518,296.2795104980469,,,,
299519,296.3066711425781,,,,
299520,296.4969177246094,,,,
299521,296.3066711425781,,,,
299522,296.3066711425781,,,,
299523,296.3066711425781,,,,
299524,296.36102294921875,-27.174109870031494,-2.9047942302289083,1.6094360663532938,1.6094103877673982
299525,296.2795104980469,,,,
299526,296.5240783691406,,,,
299527,296.5240783691406,,,,
299528,296.36102294921875,,,,
299529,296.3066711425781,,,,
299530,296.3882141113281,,,,
299531,296.55126953125,,,,
299532,296.3882141113281,,,,
299533,296.3882141113281,,,,
299534,296.22515869140625,,,,
299535,296.6056213378906,,,,
299536,296.4153747558594,,,,
299537,296.4697265625,,,,
299538,296.36102294921875,,,,
299539,296.44256591796875,-27.19889982076308,-2.8648262680531635,1.6094371810094268,1.6093948791060066
299540,296.44256591796875,,,,
299541,296.5240783691406,,,,
299542,296.3066711425781,,,,
299543,296.5240783691406,,,,
299544,296.4697265625,,,,
299545,296.4153747558594,,,,
299546,296.68719482421875,,,,
299547,296.44256591796875,,,,
299548,296.4697265625,,,,
299549,296.36102294921875,,,,
299550,296.4153747558594,,,,
299551,296.3066711425781,,,,
299552,296.55126953125,,,,
299553,296.44256591796875,,,,
299554,296.4969177246094,-27.17823434799547,-2.878847963838597,1.6094370860038516,1.609414772364327
299555,296.4697265625,,,,
299556,296.5240783691406,,,,
299557,296.3338623046875,,,,
299558,296.4969177246094,,,,
299559,296.44256591796875,,,,
299560,296.4969177246094,,,,
299561,296.4969177246094,,,,
299562,296.44256591796875,,,,
299563,296.44256591796875,,,,
299564,296.6056213378906,,,,
299565,296.3066711425781,,,,
299566,296.4697265625,,,,
299567,296.4697265625,,,,
299568,296.2523193359375,,,,
299569,296.3882141113281,-27.161513349734683,-2.909738563738557,1.6094378005845722,1.6094180713476298
299570,296.4969177246094,,,,
299571,296.22515869140625,,,,
299572,296.5784606933594,,,,
299573,296.6600036621094,,,,
299574,296.55126953125,,,,
299575,296.44256591796875,,,,
299576,296.2795104980469,,,,
299577,296.4969177246094,,,,
299578,296.4153747558594,,,,
299579,296.6056213378906,,,,
299580,296.4969177246094,,,,
299581,296.5240783691406,,,,
299582,296.3066711425781,,,,
299583,296.22515869140625,,,,
299584,296.3882141113281,-27.29613206020708,-2.925122524025134,1.6094363121981192,1.6094095548761966
299585,296.4697265625,,,,
299586,296.44256591796875,,,,
299587,296.4697265625,,,,
299588,296.3882141113281,,,,
299589,296.4969177246094,,,,
299590,296.4969177246094,,,,
299591,296.4969177246094,,,,
299592,296.2795104980469,,,,
299593,296.44256591796875,,,,
299594,296.6600036621094,,,,
299595,296.3882141113281,,,,
299596,296.5240783691406,,,,
299597,296.36102294921875,,,,
299598,296.4153747558594,,,,
299599,296.4969177246094,-27.153967168048837,-2.9095769019724202,1.6094361172835654,1.6094084221027027
299600,296.44256591796875,,,,
299601,296.4697265625,,,,
299602,296.4697265625,,,,
299603,296.4697265625,,,,
299604,296.3066711425781,,,,
299605,296.4153747558594,,,,
299606,296.08929443359375,,,,
299607,296.3066711425781,,,,
299608,296.5240783691406,,,,
299609,296.36102294921875,,,,
299610,296.5240783691406,,,,
299611,296.5240783691406,,,,
299612,296.3066711425781,,,,
299613,296.4969177246094,,,,
299614,296.36102294921875,-27.235398814190546,-2.9276690031872645,1.6094359624648127,1.6094200367581246
299615,296.5240783691406,,,,
299616,296.2795104980469,,,,
299617,296.3882141113281,,,,
299618,296.3066711425781,,,,
299619,296.3882141113281,,,,
299620,296.2795104980469,,,,
299621,296.22515869140625,,,,
299622,296.1708068847656,,,,
299623,296.3882141113281,,,,
299624,296.36102294921875,,,,
299625,296.1979675292969,,,,
299626,296.2523193359375,,,,
299627,296.3882141113281,,,,
299628,296.1979675292969,,,,
299629,296.3066711425781,-27.16897002740383,-2.911514389968363,1.6094358858733497,1.6094341838682218
299630,296.4153747558594,,,,
299631,296.2795104980469,,,,
299632,296.55126953125,,,,
299633,296.5240783691406,,,,
299634,296.3338623046875,,,,
299635,296.36102294921875,,,,
299636,296.3066711425781,,,,
299637,296.5784606933594,,,,
299638,296.1436462402344,,,,
299639,296.2795104980469,,,,
299640,296.3066711425781,,,,
299641,296.36102294921875,,,,
299642,296.3338623046875,,,,
299643,296.3882141113281,,,,
299644,296.3882141113281,-27.21873083334141,-2.8790495537597196,1.6094361773756194,1.6094201796760024
299645,296.2523193359375,,,,
299646,296.2795104980469,,,,
299647,296.3066711425781,,,,
299648,296.22515869140625,,,,
299649,296.44256591796875,,,,
299650,296.08929443359375,,,,
299651,296.4697265625,,,,
299652,296.3338623046875,,,,
299653,296.44256591796875,,,,
299654,296.4153747558594,,,,
299655,296.4697265625,,,,
299656,296.3882141113281,,,,
299657,296.36102294921875,,,,
299658,296.5784606933594,,,,
299659,296.6600036621094,-27.31328171344751,-2.9050689142725097,1.609435769172375,1.6094232397748942
299660,296.3882141113281,,,,
299661,296.4153747558594,,,,
299662,296.4969177246094,,,,
299663,296.3066711425781,,,,
299664,296.3882141113281,,,,
299665,296.44256591796875,,,,
299666,296.5784606933594,,,,
299667,296.4153747558594,,,,
299668,296.44256591796875,,,,
299669,296.6056213378906,,,,
299670,296.6328125,,,,
299671,296.4697265625,,,,
299672,296.5240783691406,,,,
299673,296.4153747558594,,,,
299674,296.4969177246094,-27.16083210474079,-2.8813059497300486,1.609435883114117,1.60941761963455
299675,296.6056213378906,,,,
299676,296.4697265625,,,,
299677,296.4969177246094,,,,
299678,296.44256591796875,,,,
299679,296.4153747558594,,,,
299680,296.4697265625,,,,
299681,296.3882141113281,,,,
299682,296.5784606933594,,,,
299683,296.5240783691406,,,,
299684,296.44256591796875,,,,
299685,296.2795104980469,,,,
299686,296.5240783691406,,,,
299687,296.4697265625,,,,
299688,296.4153747558594,,,,
299689,296.3338623046875,-27.152709463493785,-2.873964761659503,1.6094354990527688,1.6094242455090437
299690,296.5240783691406,,,,
299691,296.6328125,,,,
299692,296.5784606933594,,,,
299693,296.3882141113281,,,,
299694,296.3882141113281,,,,
299695,296.4969177246094,,,,
299696,296.4969177246094,,,,
299697,296.36102294921875,,,,
299698,296.36102294921875,,,,
299699,296.2795104980469,,,,
299700,296.4153747558594,,,,
299701,296.68719482421875,,,,
299702,296.3882141113281,,,,
299703,296.4153747558594,,,,
299704,296.4969177246094,-27.21828004711852,-2.8949905754780114,1.609435689309871,1.6094300488934385
299705,296.3338623046875,,,,
299706,296.3882141113281,,,,
299707,296.4969177246094,,,,
299708,296.3882141113281,,,,
299709,296.3066711425781,,,,
299710,296.2795104980469,,,,
299711,296.2523193359375,,,,
299712,296.36102294921875,,,,
299713,296.44256591796875,,,,
299714,296.4969177246094,,,,
299715,296.3066711425781,,,,
299716,296.4153747558594,,,,
299717,296.3882141113281,,,,
299718,296.36102294921875,,,,
299719,296.3066711425781,-27.123151576791415,-2.8963618192333667,1.6094348530807214,1.609430433953759
299720,296.5240783691406,,,,
299721,296.3882141113281,,,,
299722,296.4969177246094,,,,
299723,296.08929443359375,,,,
299724,296.4153747558594,,,,
299725,296.4153747558594,,,,
299726,296.3882141113281,,,,
299727,296.4969177246094,,,,
299728,296.44256591796875,,,,
299729,296.4697265625,,,,
299730,296.4969177246094,,,,
299731,296.4153747558594,,,,
299732,296.4969177246094,,,,
299733,296.4697265625,,,,
299734,296.36102294921875,-27.197592697711208,-2.932817591559408,1.6094371448827012,1.6094134211706597
299735,296.36102294921875,,,,
299736,296.44256591796875,,,,
299737,296.3882141113281,,,,
299738,296.4153747558594,,,,
299739,296.4969177246094,,,,
299740,296.36102294921875,,,,
299741,296.4153747558594,,,,
299742,296.4153747558594,,,,
299743,296.4697265625,,,,
299744,296.3338623046875,,,,
299745,296.4697265625,,,,
299746,296.5784606933594,,,,
299747,296.4697265625,,,,
299748,296.3066711425781,,,,
299749,296.4969177246094,-27.122882524300437,-2.922321879355846,1.6094368888236261,1.6094117366608987
299750,296.4697265625,,,,
299751,296.6056213378906,,,,
299752,296.2523193359375,,,,
299753,296.36102294921875,,,,
299754,296.3882141113281,,,,
299755,296.68719482421875,,,,
299756,296.3882141113281,,,,
299757,296.4969177246094,,,,
299758,296.5240783691406,,,,
299759,296.4969177246094,,,,
299760,296.3066711425781,,,,
299761,296.4153747558594,,,,
299762,296.6328125,,,,
299763,296.4697265625,,,,
299764,296.6056213378906,-27.25650374168532,-2.9417075538664688,1.6094360108225934,1.609416794396512
299765,296.4697265625,,,,
299766,296.44256591796875,,,,
299767,296.4969177246094,,,,
299768,296.3338623046875,,,,
299769,296.3882141113281,,,,
299770,296.44256591796875,,,,
299771,296.4153747558594,,,,
299772,296.44256591796875,,,,
299773,296.4153747558594,,,,
299774,296.4153747558594,,,,
299775,296.3882141113281,,,,
299776,296.44256591796875,,,,
299777,296.4153747558594,,,,
299778,296.55126953125,,,,
299779,296.5240783691406,-27.09645562821592,-2.918232165907355,1.6094355416881085,1.6094241225755976
299780,296.5240783691406,,,,
299781,296.22515869140625,,,,
299782,296.3338623046875,,,,
299783,296.55126953125,,,,
299784,296.5240783691406,,,,
299785,296.4153747558594,,,,
299786,296.3066711425781,,,,
299787,296.5240783691406,,,,
299788,296.5784606933594,,,,
299789,296.5240783691406,,,,
299790,296.5240783691406,,,,
299791,296.5240783691406,,,,
299792,296.44256591796875,,,,
299793,296.4153747558594,,,,
299794,296.5240783691406,-27.195365529645514,-2.9427804911909674,1.609435685548202,1.609432170325154
299795,296.4153747558594,,,,
299796,296.3882141113281,,,,
299797,296.44256591796875,,,,
299798,296.4153747558594,,,,
299799,296.4697265625,,,,
299800,296.4697265625,,,,
299801,296.3338623046875,,,,
299802,296.3066711425781,,,,
299803,296.3882141113281,,,,
299804,296.3882141113281,,,,
299805,296.4153747558594,,,,
299806,296.4969177246094,,,,
299807,296.3338623046875,,,,
299808,296.4969177246094,,,,
299809,296.4969177246094,-27.105549508706346,-2.937459950476883,1.6094353596140314,1.6094318373196153
299810,296.36102294921875,,,,
299811,296.2795104980469,,,,
299812,296.3338623046875,,,,
299813,296.4697265625,,,,
299814,296.1436462402344,,,,
299815,296.5240783691406,,,,
299816,296.3338623046875,,,,
299817,296.4969177246094,,,,
299818,296.3882141113281,,,,
299819,296.1979675292969,,,,
299820,296.36102294921875,,,,
299821,296.3338623046875,,,,
299822,296.36102294921875,,,,
299823,296.3066711425781,,,,
299824,296.2795104980469,-27.185463503776802,-2.947620226407157,1.609435487038237,1.6094318876384814
299825,296.1708068847656,,,,
299826,296.4153747558594,,,,
299827,296.2795104980469,,,,
299828,296.3338623046875,,,,
299829,296.36102294921875,,,,
299830,296.3066711425781,,,,
299831,296.3338623046875,,,,
299832,296.6328125,,,,
299833,296.4153747558594,,,,
299834,296.36102294921875,,,,
299835,296.36102294921875,,,,
299836,296.5240783691406,,,,
299837,296.3882141113281,,,,
299838,296.5240783691406,,,,
299839,296.5240783691406,-27.227823664006394,-2.94529507959827,1.60943608552946,1.609431425562294
299840,296.3066711425781,,,,
299841,296.4153747558594,,,,
299842,296.5784606933594,,,,
299843,296.4153747558594,,,,
299844,296.3882141113281,,,,
299845,296.4697265625,,,,
299846,296.08929443359375,,,,
299847,296.36102294921875,,,,
299848,296.36102294921875,,,,
299849,296.22515869140625,,,,
299850,296.3338623046875,,,,
299851,296.3338623046875,,,,
299852,296.2795104980469,,,,
299853,296.4153747558594,,,,
299854,296.2795104980469,-27.21383124799155,-2.920602618468885,1.6094366830101947,1.6094324784686085
299855,296.55126953125,,,,
299856,296.4697265625,,,,
299857,296.36102294921875,,,,
299858,296.5784606933594,,,,
299859,296.3066711425781,,,,
299860,296.55126953125,,,,
299861,296.3066711425781,,,,
299862,296.3882141113281,,,,
299863,296.4153747558594,,,,
299864,296.36102294921875,,,,
299865,296.3882141113281,,,,
299866,296.3066711425781,,,,
299867,296.2795104980469,,,,
299868,296.3882141113281,,,,
299869,296.36102294921875,-27.17251715376421,-2.920927475618229,1.6094366866299923,1.6094300749891022
299870,296.44256591796875,,,,
299871,296.3066711425781,,,,
299872,296.3882141113281,,,,
299873,296.4697265625,,,,
299874,296.36102294921875,,,,
299875,296.08929443359375,,,,
299876,296.5240783691406,,,,
299877,296.5784606933594,,,,
299878,296.4969177246094,,,,
299879,296.6056213378906,,,,
299880,296.3882141113281,,,,
299881,296.3338623046875,,,,
299882,296.3882141113281,,,,
299883,296.3338623046875,,,,
